epoch,step,train_loss_step
0,49,125125.421875
0,99,114707.6875
0,149,110012.6640625
0,199,106090.8203125
0,249,102995.3359375
0,299,109102.3359375
0,349,109057.5234375
0,399,99871.5390625
0,449,105638.5625
0,499,106124.5703125
0,549,106491.40625
0,599,104837.8828125
0,649,98136.8671875
0,699,104231.6328125
0,749,110774.140625
0,799,101503.3671875
0,849,108153.2265625
0,899,100805.84375
0,949,101534.8359375
0,999,106649.7890625
0,1049,103846.2421875
0,1099,109205.609375
0,1149,101747.46875
0,1199,106263.84375
0,1249,104848.1796875
0,1299,101214.6328125
0,1349,105631.5234375
0,1399,103239.546875
0,1449,105660.2890625
0,1499,103849.140625
0,1549,101972.0078125
0,1599,105067.4453125
0,1649,103356.859375
0,1699,103477.4140625
0,1749,101097.140625
0,1799,106638.8515625
0,1849,103546.234375
0,1899,101702.609375
0,1949,99905.9765625
0,1999,96425.6640625
0,2049,99146.390625
0,2099,100853.5
0,2149,94885.21875
0,2199,102580.28125
0,2249,98653.0625
0,2299,104095.0546875
0,2349,97379.7734375
0,2399,97707.421875
0,2449,103284.0234375
0,2499,98134.640625
0,2549,105936.1640625
0,2599,106787.6953125
0,2649,96820.46875
0,2699,104582.265625
0,2749,104305.171875
0,2799,109552.59375
0,2849,99149.53125
0,2899,104300.0390625
0,2949,98720.0078125
0,2999,96835.609375
0,3049,105413.609375
0,3099,103958.84375
0,3149,99803.828125
0,3199,100783.0703125
0,3249,106675.03125
0,3299,100472.5546875
0,3349,101552.015625
0,3399,104732.578125
0,3449,100164.6171875
0,3499,102023.6640625
0,3549,103753.8203125
0,3599,95228.9609375
0,3649,98976.78125
0,3699,102695.21875
0,3749,94858.515625
0,3799,104823.0234375
0,3849,105941.3671875
0,3899,103456.8359375
0,3949,104832.546875
0,3999,105695.875
0,4049,99612.015625
0,4099,99665.9375
0,4149,99851.5234375
0,4199,101546.59375
0,4249,104763.234375
0,4299,97410.984375
0,4349,104096.9375
0,4399,91992.828125
0,4449,100651.4296875
0,4499,99441.46875
0,4549,97226.609375
0,4599,101819.65625
0,4649,103331.1796875
0,4699,105120.3125
0,4749,104927.71875
0,4799,98484.96875
0,4849,102549.53125
0,4899,107975.9609375
0,4949,105323.3984375
0,4999,99977.8203125
0,5049,101581.046875
0,5099,93663.140625
0,5149,101635.953125
0,5199,107571.9375
0,5249,102916.53125
0,5299,101450.953125
0,5349,102242.96875
0,5399,105495.375
0,5449,100667.140625
0,5499,96783.5234375
0,5549,103398.0078125
0,5599,96801.2265625
0,5649,96853.4765625
0,5699,103475.6171875
0,5749,100075.5859375
0,5799,100687.703125
0,5849,96106.9453125
